,author,title,format,mirror0,mirror1,mirror2
0,Aleksandr Solženicyn,Gulago archipelagas (3),epub,http://books.ms/fiction/38A8BAE67C964F95D6D61B4E106C53B7,https://libgen.li/ads.php?md5=38A8BAE67C964F95D6D61B4E106C53B7,
1,Chris Carter,Genezė,epub,http://books.ms/fiction/3558298A9F57AC39E3EDB1A880C7B281,https://libgen.li/ads.php?md5=3558298A9F57AC39E3EDB1A880C7B281,
2,Dorothy Koomson,"Labanakt, gražuole",epub,http://books.ms/fiction/54880B9F4ABD4F78D1AEB6FED0564ADA,https://libgen.li/ads.php?md5=54880B9F4ABD4F78D1AEB6FED0564ADA,
3,Dorota Skwark,Penki iš vienos ankšties,epub,http://books.ms/fiction/197F5356F6E48639838FF7CBFA3C765E,https://libgen.li/ads.php?md5=197F5356F6E48639838FF7CBFA3C765E,
4,Dorota Skwark,Piemenaitė ir kaminkrėtys,epub,http://books.ms/fiction/705524A1A7846B0847244DFC72AB1FE1,https://libgen.li/ads.php?md5=705524A1A7846B0847244DFC72AB1FE1,
5,Dorota Skwark,Piktasis princas,epub,http://books.ms/fiction/FB74AEA89AD2764A896F8BA05F5A1F95,https://libgen.li/ads.php?md5=FB74AEA89AD2764A896F8BA05F5A1F95,
6,Tadas Zaikauskas,Gladiolės gladiatorei,epub,http://books.ms/fiction/B25961A901C1465DF68ED943F95D64D1,https://libgen.li/ads.php?md5=B25961A901C1465DF68ED943F95D64D1,
7,Anna Erishkigal,Laikrodininkas: trumpas apsakymas (Lithuanian Edition),epub,http://books.ms/fiction/CF24A4B23F8C310964DCA7C8328B6D04,https://libgen.li/ads.php?md5=CF24A4B23F8C310964DCA7C8328B6D04,
8,Anna Erishkigal,"Senovės didvyriai: ar novelė: Priešistorės serijos „Dievų kalavijas"" Užsakyti 1",epub,http://books.ms/fiction/7909220E4160F72A2D4C02B403ED7280,https://libgen.li/ads.php?md5=7909220E4160F72A2D4C02B403ED7280,
9,Inger Gammelgaard Madsen,Valytojas,epub,http://books.ms/fiction/D5C2FFBE1BEDFB954F87B009601A0713,https://libgen.li/ads.php?md5=D5C2FFBE1BEDFB954F87B009601A0713,
10,Inger Gammelgaard Madsen,Valytojas 1: Sąrašas,epub,http://books.ms/fiction/6020C05AADC0EDF5F1658216BBD729B3,https://libgen.li/ads.php?md5=6020C05AADC0EDF5F1658216BBD729B3,
11,Inger Gammelgaard Madsen,Valytojas 2: Šuolis,epub,http://books.ms/fiction/31F655FAE8FEFC4228B7CC8FDCD2365B,https://libgen.li/ads.php?md5=31F655FAE8FEFC4228B7CC8FDCD2365B,
12,Inger Gammelgaard Madsen,Valytojas 3: Švarkas,epub,http://books.ms/fiction/BC642657BB6E9C2CBF046CD586D08005,https://libgen.li/ads.php?md5=BC642657BB6E9C2CBF046CD586D08005,
